2023-03-16 08:23:13,116,116 root INFO Block: 937983 To 940031, Step block: 2048, Total transaction: 4819, Transaction ERC-721: 17, Crawled Transaction: 624131, Crawled Transaction ERC 721: 859
2023-03-16 08:23:15,932,932 root INFO Block: 940031 To 942079, Step block: 2048, Total transaction: 3681, Transaction ERC-721: 5, Crawled Transaction: 627812, Crawled Transaction ERC 721: 864
2023-03-16 08:23:16,489,489 root INFO Block: 942079 To 946175, Step block: 4096, Total transaction: 3681, Transaction ERC-721: 5, Crawled Transaction: 631493, Crawled Transaction ERC 721: 869
2023-03-16 08:23:27,342,342 root INFO Block: 946175 To 947199, Step block: 1024, Total transaction: 5923, Transaction ERC-721: 0, Crawled Transaction: 637416, Crawled Transaction ERC 721: 869
2023-03-16 08:23:29,727,727 root INFO Block: 947199 To 948223, Step block: 1024, Total transaction: 4536, Transaction ERC-721: 2, Crawled Transaction: 641952, Crawled Transaction ERC 721: 871
2023-03-16 08:23:32,595,595 root INFO Block: 948223 To 949247, Step block: 1024, Total transaction: 3598, Transaction ERC-721: 2, Crawled Transaction: 645550, Crawled Transaction ERC 721: 873
2023-03-16 08:23:33,145,145 root INFO Block: 949247 To 951295, Step block: 2048, Total transaction: 3598, Transaction ERC-721: 2, Crawled Transaction: 649148, Crawled Transaction ERC 721: 875
2023-03-16 08:23:36,664,664 root INFO Block: 951295 To 953343, Step block: 2048, Total transaction: 4714, Transaction ERC-721: 3, Crawled Transaction: 653862, Crawled Transaction ERC 721: 878
2023-03-16 08:23:40,108,108 root INFO Block: 953343 To 955391, Step block: 2048, Total transaction: 4897, Transaction ERC-721: 1, Crawled Transaction: 658759, Crawled Transaction ERC 721: 879
2023-03-16 08:23:43,195,195 root INFO Block: 955391 To 957439, Step block: 2048, Total transaction: 4391, Transaction ERC-721: 6, Crawled Transaction: 663150, Crawled Transaction ERC 721: 885
2023-03-16 08:23:46,638,638 root INFO Block: 957439 To 959487, Step block: 2048, Total transaction: 4238, Transaction ERC-721: 3, Crawled Transaction: 667388, Crawled Transaction ERC 721: 888
2023-03-16 08:23:49,626,626 root INFO Block: 959487 To 961535, Step block: 2048, Total transaction: 4415, Transaction ERC-721: 4, Crawled Transaction: 671803, Crawled Transaction ERC 721: 892
2023-03-16 08:23:52,837,837 root INFO Block: 961535 To 963583, Step block: 2048, Total transaction: 5602, Transaction ERC-721: 9, Crawled Transaction: 677405, Crawled Transaction ERC 721: 901
2023-03-16 08:23:56,212,212 root INFO Block: 963583 To 965631, Step block: 2048, Total transaction: 5091, Transaction ERC-721: 6, Crawled Transaction: 682496, Crawled Transaction ERC 721: 907
2023-03-16 08:23:59,178,178 root INFO Block: 965631 To 967679, Step block: 2048, Total transaction: 4109, Transaction ERC-721: 0, Crawled Transaction: 686605, Crawled Transaction ERC 721: 907
2023-03-16 08:24:01,380,380 root INFO Block: 967679 To 969727, Step block: 2048, Total transaction: 3079, Transaction ERC-721: 1, Crawled Transaction: 689684, Crawled Transaction ERC 721: 908
2023-03-16 08:24:01,976,976 root INFO Block: 969727 To 973823, Step block: 4096, Total transaction: 3079, Transaction ERC-721: 1, Crawled Transaction: 692763, Crawled Transaction ERC 721: 909
2023-03-16 08:24:06,544,544 root INFO Block: 973823 To 977919, Step block: 4096, Total transaction: 7435, Transaction ERC-721: 5, Crawled Transaction: 700198, Crawled Transaction ERC 721: 914
2023-03-16 08:24:10,868,868 root INFO Block: 977919 To 982015, Step block: 4096, Total transaction: 6883, Transaction ERC-721: 3, Crawled Transaction: 707081, Crawled Transaction ERC 721: 917
2023-03-16 08:24:14,293,293 root INFO Block: 982015 To 986111, Step block: 4096, Total transaction: 8051, Transaction ERC-721: 4, Crawled Transaction: 715132, Crawled Transaction ERC 721: 921
2023-03-16 08:24:18,629,629 root INFO Block: 986111 To 990207, Step block: 4096, Total transaction: 6976, Transaction ERC-721: 6, Crawled Transaction: 722108, Crawled Transaction ERC 721: 927
2023-03-16 08:24:23,233,233 root INFO Block: 990207 To 994303, Step block: 4096, Total transaction: 8093, Transaction ERC-721: 4, Crawled Transaction: 730201, Crawled Transaction ERC 721: 931
2023-03-16 08:24:27,574,574 root INFO Block: 994303 To 998399, Step block: 4096, Total transaction: 7213, Transaction ERC-721: 6, Crawled Transaction: 737414, Crawled Transaction ERC 721: 937
2023-03-16 08:24:30,860,860 root INFO Block: 998399 To 1002495, Step block: 4096, Total transaction: 5698, Transaction ERC-721: 6, Crawled Transaction: 743112, Crawled Transaction ERC 721: 943
2023-03-16 08:24:35,102,102 root INFO Block: 1002495 To 1006591, Step block: 4096, Total transaction: 6863, Transaction ERC-721: 13, Crawled Transaction: 749975, Crawled Transaction ERC 721: 956
